rank,layer_name,onnx_node_name,tflite_tensor_idx,block_name,operator_type,semantic_category,weight_params,weight_mae,weight_rmse,weight_cosine,weight_quant_type,activation_mae,activation_rmse,activation_cosine,activation_scale,activation_zero_point,clipping_rate,sensitivity_score,recommendation
70,features/features.7/block/block.2/activation/Relu,/features/features.7/block/block.2/activation/Relu,245,features.7,Conv,se_fc1,3840,0.0007355171003880764,0.0018606778380380019,0.9998977780247267,per-channel,0.04550714464858174,0.16450712595134973,0.9816590166091919,0.02497209422290325,-128,0.916875,0.39904433775137793,SELECTIVE FP16 / MIXED-PRECISION
71,features/features.8/block/block.2/avgpool/GlobalAveragePool,/features/features.8/block/block.2/avgpool/GlobalAveragePool,263,features.8,GlobalAveragePool,se_pool,0,0.0,0.0,1.0,N/A,0.11745230123400688,0.18711886093020438,0.7526163339614869,0.012040951289236546,-97,0.0,0.39895346641540524,SELECTIVE FP16 / MIXED-PRECISION
72,features/features.8/block/block.0/block.0.0/Conv,/features/features.8/block/block.0/block.0.0/Conv,251,features.8,Conv,expand_conv,6912,0.00032899199269926713,0.0004771436822591221,0.9999810251812163,per-channel,0.3216185402870178,0.5103150123357773,0.7555164992809296,0.06582652032375336,-20,2.170138888888889e-06,0.3977974122652738,SELECTIVE FP16 / MIXED-PRECISION
73,features/features.4/block/block.0/block.0.0/Conv,/features/features.4/block/block.0/block.0.0/Conv,172,features.4,Conv,expand_conv,2304,0.0008762667523648639,0.001279010312265756,0.9999709520737785,per-channel,0.8376686811447144,1.2281236457824707,0.7577953684329987,0.11598096042871475,-16,4.638671875e-05,0.39689230088391986,SELECTIVE FP16 / MIXED-PRECISION
74,features/features.10/block/block.0/block.0.0/Conv,/features/features.10/block/block.0/block.0.0/Conv,291,features.10,Conv,expand_conv,55296,0.00037215761319410505,0.0005402435849885158,0.9999777027201057,per-channel,0.301957975924015,0.46352178454399107,0.7747292566299439,0.06188449636101723,-19,0.0,0.3901127568040013,SELECTIVE FP16 / MIXED-PRECISION
75,features/features.2/block/block.1/block.1.2/Relu,/features/features.2/block/block.1/block.1.2/Relu,166,features.2,Conv,depthwise_conv,648,0.0042566762722232995,0.007954105566011073,0.9999914933948226,per-channel,0.2581660231947899,0.499120714366436,0.8796430706977845,0.06291358172893524,-128,0.41662760416666667,0.38980723345858836,SELECTIVE FP16 / MIXED-PRECISION
76,features/features.6/block/block.0/block.0.0/Conv,/features/features.6/block/block.0/block.0.0/Conv,212,features.6,Conv,expand_conv,9600,0.0003020593018040311,0.00044040800639406414,0.9999815061753472,per-channel,0.34990140855312346,0.5641559618711471,0.7755650806427002,0.07841385155916214,50,1.4322916666666666e-05,0.3897790987995171,SELECTIVE FP16 / MIXED-PRECISION
77,features/features.9/block/block.2/avgpool/GlobalAveragePool,/features/features.9/block/block.2/avgpool/GlobalAveragePool,284,features.9,GlobalAveragePool,se_pool,0,0.0,0.0,1.0,N/A,0.18659815609455108,0.2831576973199844,0.7840651571750641,0.015527484007179737,-104,0.00375,0.3867489371299744,SELECTIVE FP16 / MIXED-PRECISION
78,features/features.7/block/block.2/Mul,/features/features.7/block/block.2/Mul,249,features.7,Mul,se_gate,0,0.0,0.0,1.0,N/A,0.3008180132508278,0.4713034999370575,0.7992182195186615,0.0872303694486618,-124,0.0486328125,0.38517599344253545,SELECTIVE FP16 / MIXED-PRECISION
79,features/features.9/block/block.0/block.0.0/Conv,/features/features.9/block/block.0/block.0.0/Conv,271,features.9,Conv,expand_conv,13824,0.0004967515436979765,0.000658216716771409,0.9999787245066522,per-channel,0.5805591410398483,0.8104157781600952,0.8017952144145966,0.09679502993822098,-32,2.170138888888889e-06,0.37928638634671985,SELECTIVE FP16 / MIXED-PRECISION
80,features/features.3/block/block.0/block.0.2/Relu,/features/features.3/block/block.0/block.0.2/Relu,168,features.3,Conv,expand_conv,2112,0.00041577217975642065,0.0006195552457570455,0.9999714843892817,per-channel,0.13997051522135734,0.24464992940425873,0.9163025283813476,0.02419109083712101,-128,0.40474076704545453,0.37395876847415005,SELECTIVE FP16 / MIXED-PRECISION
81,features/features.2/block/block.0/block.0.2/Relu,/features/features.2/block/block.0/block.0.2/Relu,164,features.2,Conv,expand_conv,1152,0.000589154270146434,0.0009218959207014219,0.9999815826120597,per-channel,0.18994368389248847,0.40507591754198075,0.8933853101730347,0.05752169340848923,-128,0.31137532552083336,0.3737870919604575,SELECTIVE FP16 / MIXED-PRECISION
82,features/features.3/block/block.1/block.1.2/Relu,/features/features.3/block/block.1/block.1.2/Relu,169,features.3,Conv,depthwise_conv,792,0.003087029214431882,0.004994996031710079,0.9999842228974645,per-channel,0.12538666307926177,0.2530931109189987,0.9403976082801819,0.030258120968937874,-128,0.4989284446022727,0.3737369565686616,SELECTIVE FP16 / MIXED-PRECISION
83,features/features.11/block/block.0/block.0.0/Conv,/features/features.11/block/block.0/block.0.0/Conv,311,features.11,Conv,expand_conv,55296,0.00044264129804907595,0.0005589807841845769,0.9999779993105913,per-channel,0.5095115339756012,0.6924817460775375,0.8165369260311127,0.05433351919054985,17,0.0,0.37338962972543666,SELECTIVE FP16 / MIXED-PRECISION
84,features/features.9/block/block.2/Mul,/features/features.9/block/block.2/Mul,289,features.9,Mul,se_gate,0,0.0,0.0,1.0,N/A,0.07682935118675233,0.114078369140625,0.8197458910942078,0.010496241971850395,-92,0.0,0.3721016435623169,SELECTIVE FP16 / MIXED-PRECISION
85,features/features.8/block/block.2/activation/Relu,/features/features.8/block/block.2/activation/Relu,264,features.8,Conv,se_fc1,5760,0.0013522671356592279,0.0016905139604831924,0.9999455087044742,per-channel,0.24978234529495238,0.3337966634333134,0.8932219064235687,0.011323864571750164,-128,0.1845,0.3611721356896777,SELECTIVE FP16 / MIXED-PRECISION
86,features/features.4/block/block.1/block.1.0/Conv,/features/features.4/block/block.1/block.1.0/Conv,179,features.4,Conv,depthwise_conv,2400,0.0031557886763948773,0.008189250571558948,0.9999789431572361,per-channel,0.7186339694261551,1.121542729139328,0.8542357552051544,0.13318346440792084,-27,5.208333333333334e-05,0.3583151176198244,SELECTIVE FP16 / MIXED-PRECISION
87,features/features.7/block/block.2/fc2/Conv,/features/features.7/block/block.2/fc2/Conv,246,features.7,Conv,se_fc2,3840,0.029837226526316072,0.10724051869393234,0.9999873246769854,per-channel,1.6558260464668273,1.7912087559700012,0.9074078357219696,0.00596799748018384,-41,0.1885,0.35588940077581505,SELECTIVE FP16 / MIXED-PRECISION
